participantID,gender,maritalStatus,age,housing,townType,governorate,employment ,workLocation,education,beforeIncome,afterIncome,haveGarden,timeInGardenYN,whyNoTimeInGarden,aloneInGarden,familyInGarden,kidsInGarden,neighborsInGarden,friendsInGarden,afterGardenRelaxing,afterGardenExercising,afterGardenGardening,afterGardenOrchard,afterGardenOrnamentals,afterGardenLandscaping,afterGardenLivestock,afterGardenBirdPhotography,afterGardenHarvesting,visitGreenspace,whyNoVisitGreenspace,aloneGreenspace,familyGreenspace,kidsGreenspace,neighborsGreenspace,friendsGreenspace,walkingGreenspace,bicyclingGreenspace,carGreenspace,busGreenspace,taxiGreenspace,distanceGreenspace_under0.5,distanceGreenspace_0.5to1,distanceGreenspace_1to2,distanceGreenspace_over2,afterGreenspaceExercise,afterGreenspaceRelaxing,afterGreenspaceBirdPhotography,afterGreenspaceHarvesting,visitNatural,whyNoVisitNatural,aloneNatural,familyNatural,kidsNatural,neighborsNatural,friendsNatural,walkingNatural,bicyclingNatural,carNatural,busNatural,taxiNatural,distanceNatural_under0.5,distanceNatural_0.5to1,distanceNatural_1to2,distanceNatural_2to4,distanceNatural_over4,afterNaturalExercise,afterNaturalRelaxing,afterNaturalBirdPhotography,afterNaturalScenery,afterNaturalHarvesting,afterNaturalGathering,afterNaturalHistoric,afterNaturalCamping,afterNaturalLandscaping,afterNaturalCultivation,afterNaturalOrchard,afterNaturalLivestock
1081,Male,Married,36 - 45,House,City,Bethlehem,NGO Employee,Inside the West Bank,Diploma,"6,001 - 8,000 NIS",The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often,I don't do this activity,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,,Before the pandemic,Before the pandemic,,Before the pandemic,,,,,Much more often,More often,About the same,More often,I don't do this activity,I don't do this activity,More often,More often,More often,More often,I don't do this activity,I don't do this activity
1082,Male,Single,18 - 25,House,Village,Salfit,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,About the same,Less often,Much more often,Much more often,Much more often,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,Less often,More often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,More often,More often,About the same,Less often,I don't do this activity,More often,Much more often,I don't do this activity,Much more often,Much more often,Much more often,I don't do this activity
1083,Male,Married,36 - 45,Apartment,City,Ramallah,Governmental Employee,Inside the West Bank,Master,"6,001 - 8,000 NIS",The same,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Much more often,Less often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,,,,"Before the pandemic, After the pandemic occurred",,More often,Less often,I don't do this activity,I don't do this activity,I don't do this activity,About the same,Less often,I don't do this activity,I don't do this activity,I don't do this activity,About the same,I don't do this activity
1084,Male,Married, 26 - 35,House,Village,Jenin,Teacher,Inside the West Bank,Master,"2,001 - 4,000 NIS",The same,Yes,No,Because of lack of time,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,About the same,About the same,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,I don't do this activity,About the same,About the same,I don't do this activity,I don't do this activity,About the same,About the same,I don't do this activity,I don't do this activity,About the same,About the same,I don't do this activity
1085,Male,Single,18 - 25,House,City,Tulkarem,Freelancer,Inside the West Bank,Highschool or Less,"2,001 - 4,000 NIS",Decreased,Yes,Yes,,,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Less often,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,About the same,I don't do this activity,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,,,"Before the pandemic, After the pandemic occurred",About the same,Much less,I don't do this activity,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,I don't do this activity,Less often,I don't do this activity,I don't do this activity,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1086,Female,Single,18 - 25,House,City,Tubas,Private Sector Employee,Inside the West Bank,Bachelor,"Less than 2,000 NIS",The same,Yes,Yes,,"Before the pandemic, After the pandemic occurred",,,,,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,Less often,I don't do this activity,Much more often,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,After the pandemic occurred,,,Much more often,Much more often,Much more often,I don't do this activity,Yes,,,,,,After the pandemic occurred,Before the pandemic,,After the pandemic occurred,,,Before the pandemic,After the pandemic occurred,,,,More often,More often,More often,Less often,I don't do this activity,I don't do this activity,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1087,Female,Single,36 - 45,House,City,Nablus,Private Sector Employee,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,Yes,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,Much more often,Much more often,About the same,About the same,More often,About the same,Much more often,More often,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",Much more often,Much more often,Much more often,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",Much more often,Much more often,Much more often,About the same,I don't do this activity,I don't do this activity,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Much more often
1088,Male,Single,18 - 25,House,Village,Jenin,Private Sector Employee,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",Increased,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,,,"Before the pandemic, After the pandemic occurred",Much more often,Much more often,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,,,,"Before the pandemic, After the pandemic occurred",Much more often,Much more often,About the same,About the same,I don't do this activity,I don't do this activity,Much more often,I don't do this activity,Much more often,Much more often,Much more often,I don't do this activity
1089,Female,Married,46 - 55,House,City,Hebron,Teacher,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,Yes,Yes,,Before the pandemic,After the pandemic occurred,,,,Much more often,Much more often,Much more often,About the same,Much more often,Much more often,I don't do this activity,Much more often,I don't do this activity,Yes,,After the pandemic occurred,,,,,,,,Before the pandemic,,,,,Before the pandemic,I don't do this activity,Less often,I don't do this activity,I don't do this activity,Yes,,,After the pandemic occurred,,,Before the pandemic,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",About the same,Less often,Less often,I don't do this activity,I don't do this activity,About the same,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1090,Female,Married,36 - 45,House,City,Nablus,Unemployed,,Bachelor,I prefer not to answer,Decreased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,About the same,About the same,I don't do this activity,About the same,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,,,,,"Before the pandemic, After the pandemic occurred",,About the same,About the same,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,About the same,About the same,I don't do this activity,Much less,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,Much less,I don't do this activity
1091,Female,Married, 26 - 35,Apartment,City,Ramallah,Governmental Employee,Inside the West Bank,Diploma,"Less than 2,000 NIS",Increased,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",,After the pandemic occurred,,"Before the pandemic, After the pandemic occurred",,Before the pandemic,,,Less often,More often,About the same,I don't do this activity,Yes,,After the pandemic occurred,Before the pandemic,,,,,,Before the pandemic,,,,,Before the pandemic,,,Much more often,About the same,Much more often,More often,About the same,More often,Less often,I don't do this activity,About the same,I don't do this activity,About the same,I don't do this activity
1092,Male,Single, 26 - 35,Apartment,City,Hebron,Private Sector Employee,Inside the West Bank,Diploma,"2,001 - 4,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,I don't do this activity,Much less,Much less,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,Less often,I don't do this activity,I don't do this activity,I don't do this activity,Much less,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1093,Male,Married,46 - 55,House,City,Jerusalem,Teacher,Inside the Greenline,Master,I prefer not to answer,The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,About the same,About the same,I don't do this activity,I don't do this activity,About the same,About the same,I don't do this activity,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,About the same,Less often,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,I don't do this activity,About the same,I don't do this activity,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1094,Male,Single, 26 - 35,Apartment,City,Ramallah,Freelancer,Inside the West Bank,Diploma,"Less than 2,000 NIS",Severely decreased,Yes,Yes,,After the pandemic occurred,,,,After the pandemic occurred,More often,I don't do this activity,More often,Much more often,Much more often,Much more often,I don't do this activity,About the same,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,,,Before the pandemic,,,,,Much more often,Much more often,Much more often,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred",,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,,,More often,Much more often,Much more often,About the same,I don't do this activity,More often,Much more often,Much more often,More often,Much more often,Much more often,I don't do this activity
1095,Male,Married,46 - 55,House,Town,Jerusalem,Governmental Employee,Inside the West Bank,Diploma,"6,001 - 8,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,,,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Much less,Less often,I don't do this activity,I don't do this activity,Yes,,,,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,,After the pandemic occurred,,,After the pandemic occurred,,,,Before the pandemic,Much less,Less often,I don't do this activity,I don't do this activity,I don't do this activity,Much less,About the same,I don't do this activity,I don't do this activity,I don't do this activity,More often,I don't do this activity
1096,Male,Single, 26 - 35,House,Town,Jenin,Private Sector Employee,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,Yes,No,Because of lack of time,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic ??No?No?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Female,Single,46 - 55,House,Town,Hebron,Private Sector Employee,Inside the West Bank,Master,"2,001 - 4,000 NIS",Severely decreased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Before the pandemic,About the same,About the same,Less often,About the same,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,Less often,I don't do this activity,Yes,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,After the pandemic occurred,Before the pandemic,,"Before the pandemic, After the pandemic occurred",,About the same,About the same,About the same,Less often,About the same,About the same,About the same,Less often,About the same,About the same,About the same,I don't do this activity
1098,Male,Married,36 - 45,Apartment,City,Jerusalem,Merchant,Inside the Greenline,Bachelor,"6,001 - 8,000 NIS",Decreased,Yes,No,Not one of my interests,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,Less often,I don't do this activity,Less often,I don't do this activity,I don't do this activity,Less often,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1099,Female,Single, 26 - 35,Apartment,City,Nablus,Governmental Employee,Inside the West Bank,Bachelor,"Less than 2,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,After the pandemic occurred,,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,,Much less,Much less,Much less,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,,,Much less,Much less,I don't do this activity,Less often,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1100,Male,Married,36 - 45,House,Village,Qalqelyah,Private Sector Employee,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,No,,,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,,,"Before the pandemic, After the pandemic occurred",Much more often,Less often,I don't do this activity,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Much more often,Much more often,More often,Much less,I don't do this activity,About the same,Much more often,I don't do this activity,About the same,I don't do this activity,Much more often,I don't do this activity
1101,Female,Single, 26 - 35,House,Town,Jenin,Private Sector Employee,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,Much more often,I don't do this activity,I don't do this activity,About the same,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,,Before the pandemic,,,,,,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,I don't do this activity,Less often,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1102,Female,Single,36 - 45,House,Village,Ramallah,Governmental Employee,Inside the West Bank,Master,"4,001 - 6,000 NIS",The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,About the same,More often,More often,I don't do this activity,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",More often,More often,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",More often,More often,About the same,About the same,I don't do this activity,I don't do this activity,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1103,Male,Single, 26 - 35,House,Village,Ramallah,Governmental Employee,Inside the West Bank,PhD or more,I prefer not to answer,Decreased,Yes,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,Before the pandemic,About the same,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred",,,,Before the pandemic,"Before the pandemic, After the pandemic occurred",,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,Much less,I don't do this activity,I don't do this activity,Less often,Much less,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1104,Female,Single, 26 - 35,House,Village,Jenin,Private Sector Employee,Inside the West Bank,Bachelor,"Less than 2,000 NIS",The same,No,,,,,,,,,,,,,,,,,Yes,,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",Before the pandemic,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,Much less,More often,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,,,,"Before the pandemic, After the pandemic occurred",Much more often,Much more often,I don't do this activity,More often,I don't do this activity,I don't do this activity,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1105,Male,Single,18 - 25,Apartment,City,Ramallah,Private Sector Employee,Inside the West Bank,Diploma,I prefer not to answer,The same,No,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Male,Married, 26 - 35,House,Town,Nablus,Worker,Inside the West Bank,Highschool or Less,"2,001 - 4,000 NIS",The same,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,,,,,Before the pandemic,,,Before the pandemic,,,,,Before the pandemic,,,I don't do this activity,I don't do this activity,Much less,Less often,I don't do this activity,About the same,I don't do this activity,I don't do this activity,Less often,Much less,About the same,I don't do this activity
1107,Female,Single,36 - 45,House,Village,Jerusalem,Teacher,Inside the Greenline,Master,"More than 8,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,Less often,Less often,Less often,Less often,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1108,Male,Single, 26 - 35,House,Village,Ramallah,Private Sector Employee,Inside the West Bank,Highschool or Less,,The same,No,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,Much less,Much less,Much less,Much less,Much less,Much less,Much less,Much less,Less often,Less often,Less often,I don't do this activity
1109,Female,Single, 26 - 35,House,City,Ramallah,Private Sector Employee,Inside the West Bank,Master,"2,001 - 4,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred",,,,,,Before the pandemic,After the pandemic occurred,,About the same,About the same,About the same,About the same,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same
1110,Male,Single,18 - 25,Apartment,City,Nablus,Merchant,Inside the West Bank,Bachelor,I prefer not to answer,Severely decreased,No,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,Less often,Less often,Much less,About the same,I don't do this activity,I don't do this activity,More often,About the same,Less often,I don't do this activity,About the same,I don't do this activity
1111,Female,Single,36 - 45,House,City,Ramallah,Governmental Employee,Inside the West Bank,Diploma,"4,001 - 6,000 NIS",The same,Yes,Yes,,Before the pandemic,After the pandemic occurred,,,After the pandemic occurred,Less often,About the same,I don't do this activity,I don't do this activity,Less often,I don't do this activity,I don't do this activity,About the same,I don't do this activity,Yes,,After the pandemic occurred,After the pandemic occurred,,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,More often,More often,I don't do this activity,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,About the same,More often,I don't do this activity,Less often,I don't do this activity,I don't do this activity,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1112,Female,Single,Less than 18,House,Town,Tubas,Student,Inside the West Bank,Highschool or Less,I have no income,I have no income,Yes,Yes,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Less often,I don't do this activity,I don't do this activity,Much less,About the same,I don't do this activity,More often,More often,Much less,No,Mainly for economic reasons,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,,,Before the pandemic,,,,I don't do this activity,I don't do this activity,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,More often
1113,Male,Single, 26 - 35,House,Village,Ramallah,Student,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",Severely decreased,Yes,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Much less,About the same,About the same,More often,More often,More often,More often,More often,I don't do this activity,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,I don't do this activity,Much less,Much less,I don't do this activity,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Less often,Less often,Less often,Less often,I don't do this activity,Less often,More often,Less often,More often,More often,More often,More often
1114,Female,Single, 26 - 35,House,City,Jenin,Private Sector Employee,Inside the West Bank,Master,"2,001 - 4,000 NIS",Decreased,Yes,Yes,,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,More often,Less often,Less often,More often,About the same,Less often,About the same,About the same,About the same,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred",Before the pandemic,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,About the same,Less often,Less often,About the same,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred",Before the pandemic,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,Less often,Less often,Less often,Less often,Less often,Less often,Less often,Less often,Less often,Less often,About the same,About the same
1115,Female,Single, 26 - 35,House,Town,Jenin,Private Sector Employee,Inside the West Bank,Bachelor,I prefer not to answer,Decreased,Yes,No,Because of lack of time,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,I don't do this activity,About the same,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
